arrest_key,arrest_date,pd_cd,ky_cd,ofns_desc,law_cat_cd,arrest_boro,arrest_precinct,age_group,perp_sex,perp_race,longitude,latitude
238595772,01/04/2022,441,110,GRAND LARCENY OF MOTOR VEHICLE,F,M,10,25-44,F,WHITE,-73.99515328,40.74476048
238595773,01/04/2022,779,126,MISCELLANEOUS PENAL LAW,F,Q,100,45-64,F,BLACK,-73.822141,40.585494
238595774,01/04/2022,268,121,CRIMINAL MISCHIEF & RELATED OF,F,Q,101,25-44,M,BLACK,-73.776736,40.593584
238597867,01/04/2022,397,105,ROBBERY,F,K,60,25-44,M,WHITE,-73.976436,40.577258
238597868,01/03/2022,139,101,MURDER & NON-NEGL. MANSLAUGHTE,F,K,73,18-24,M,BLACK,-73.91137507,40.68097936
238597870,01/04/2022,259,351,CRIMINAL MISCHIEF & RELATED OF,M,K,77,25-44,F,BLACK,-73.930572,40.674593
238597871,01/04/2022,259,351,CRIMINAL MISCHIEF & RELATED OF,M,K,67,45-64,M,BLACK,-73.95082,40.648859
238597872,01/04/2022,139,101,MURDER & NON-NEGL. MANSLAUGHTE,F,K,75,18-24,M,BLACK,-73.895382,40.669998
238597873,01/04/2022,139,101,MURDER & NON-NEGL. MANSLAUGHTE,F,K,88,<18,M,BLACK,-73.978093,40.695007
238597874,01/04/2022,139,101,MURDER & NON-NEGL. MANSLAUGHTE,F,K,73,<18,M,BLACK,-73.912844,40.670357
238597876,01/04/2022,268,121,CRIMINAL MISCHIEF & RELATED OF,F,M,25,18-24,M,BLACK,-73.941011,40.800896
238597877,01/04/2022,397,105,ROBBERY,F,Q,101,25-44,M,WHITE HISPANIC,-73.772464,40.596454
238597878,01/04/2022,779,126,MISCELLANEOUS PENAL LAW,F,Q,115,25-44,M,WHITE HISPANIC,-73.875603,40.756585
238600507,01/04/2022,244,107,BURGLARY,F,B,46,25-44,M,WHITE HISPANIC,-73.900591,40.853578
238600508,01/04/2022,639,361,OFF. AGNST PUB ORD SENSBLTY &,M,B,43,25-44,F,BLACK,-73.870168,40.823378
238600509,01/04/2022,339,341,PETIT LARCENY,M,B,52,25-44,F,BLACK HISPANIC,-73.880047,40.86937
238600510,01/04/2022,109,106,FELONY ASSAULT,F,B,47,45-64,M,AMERICAN INDIAN/ALASKAN NATIVE,-73.8472717577564,40.8873136344706
238600511,01/04/2022,105,106,FELONY ASSAULT,F,B,46,18-24,M,BLACK,-73.9005768807295,40.8535983673823
238600512,01/04/2022,792,118,DANGEROUS WEAPONS,F,K,88,<18,M,BLACK,-73.960148,40.689614
238600513,01/04/2022,139,101,MURDER & NON-NEGL. MANSLAUGHTE,F,K,79,<18,M,BLACK,-73.944984,40.688736
238600515,01/04/2022,139,101,MURDER & NON-NEGL. MANSLAUGHTE,F,K,88,<18,M,BLACK,-73.978093,40.695007
238600516,01/04/2022,139,101,MURDER & NON-NEGL. MANSLAUGHTE,F,K,79,<18,M,BLACK,-73.944984,40.688736
238600517,01/04/2022,139,101,MURDER & NON-NEGL. MANSLAUGHTE,F,K,73,<18,M,BLACK,-73.912844,40.670357
238600518,01/04/2022,139,101,MURDER & NON-NEGL. MANSLAUGHTE,F,K,79,<18,M,BLACK,-73.944984,40.688736
238600519,01/04/2022,139,101,MURDER & NON-NEGL. MANSLAUGHTE,F,K,75,<18,M,BLACK,-73.881509,40.671404
238600520,01/04/2022,139,101,MURDER & NON-NEGL. MANSLAUGHTE,F,K,79,<18,M,BLACK,-73.944984,40.688736
238600521,01/04/2022,109,106,FELONY ASSAULT,F,K,88,<18,M,BLACK,-73.9602785860011,40.6902236041959
238600522,01/04/2022,139,101,MURDER & NON-NEGL. MANSLAUGHTE,F,K,79,<18,M,BLACK,-73.944984,40.688736
238600523,01/04/2022,139,101,MURDER & NON-NEGL. MANSLAUGHTE,F,K,77,<18,M,BLACK,-73.930572,40.674593
238600524,01/04/2022,139,101,MURDER & NON-NEGL. MANSLAUGHTE,F,K,79,<18,M,BLACK,-73.944984,40.688736
238600525,01/04/2022,139,101,MURDER & NON-NEGL. MANSLAUGHTE,F,K,79,<18,M,BLACK,-73.944984,40.688736
238600526,01/04/2022,139,101,MURDER & NON-NEGL. MANSLAUGHTE,F,K,75,<18,M,BLACK,-73.881509,40.671404
238600527,01/04/2022,139,101,MURDER & NON-NEGL. MANSLAUGHTE,F,K,88,<18,M,BLACK,-73.978093,40.695007
238600528,01/04/2022,139,101,MURDER & NON-NEGL. MANSLAUGHTE,F,K,79,<18,M,BLACK,-73.944984,40.688736
238600529,01/04/2022,139,101,MURDER & NON-NEGL. MANSLAUGHTE,F,K,79,<18,M,BLACK,-73.944984,40.688736
238600530,01/04/2022,139,101,MURDER & NON-NEGL. MANSLAUGHTE,F,K,79,<18,M,BLACK,-73.944984,40.688736
238600531,01/04/2022,105,106,FELONY ASSAULT,F,K,83,18-24,M,BLACK,-73.917768981221,40.6984738177025
238600532,01/04/2022,101,344,ASSAULT 3 & RELATED OFFENSES,M,Q,109,45-64,F,ASIAN / PACIFIC ISLANDER,-73.827328,40.762037
238600533,01/04/2022,101,344,ASSAULT 3 & RELATED OFFENSES,M,Q,109,45-64,F,ASIAN / PACIFIC ISLANDER,-73.827328,40.762037
238602796,01/04/2022,109,106,FELONY ASSAULT,F,B,46,25-44,M,BLACK,-73.9005768807295,40.8535983673823
