arrest_key,arrest_date,pd_cd,ky_cd,ofns_desc,law_cat_cd,arrest_boro,arrest_precinct,age_group,perp_sex,perp_race,longitude,latitude
238849085,01/08/2022,759,359,OFFENSES AGAINST PUBLIC ADMINI,M,Q,114,25-44,F,BLACK,-73.936288,40.755273
238849086,01/08/2022,779,126,MISCELLANEOUS PENAL LAW,F,Q,113,25-44,M,BLACK,-73.775929,40.680077
238849087,01/08/2022,779,126,MISCELLANEOUS PENAL LAW,F,Q,113,25-44,M,BLACK,-73.775929,40.680077
238849088,01/08/2022,779,126,MISCELLANEOUS PENAL LAW,F,Q,113,25-44,M,BLACK,-73.775929,40.680077
238849089,01/08/2022,105,106,FELONY ASSAULT,F,Q,114,25-44,M,WHITE HISPANIC,-73.9150241703895,40.7694951184418
238849090,01/08/2022,177,116,SEX CRIMES,F,Q,110,25-44,M,WHITE HISPANIC,-73.8740035373971,40.7434812638841
238849091,01/08/2022,729,113,FORGERY,F,Q,113,18-24,M,BLACK,-73.7762339071953,40.6799807384666
238849092,01/08/2022,922,348,VEHICLE AND TRAFFIC LAWS,M,Q,108,25-44,M,WHITE HISPANIC,-73.9560680726795,40.7431245994984
238849093,01/08/2022,705,358,OFFENSES INVOLVING FRAUD,M,Q,115,25-44,M,WHITE HISPANIC,-73.86190458,40.75779496
238849094,01/08/2022,209,231,BURGLAR'S TOOLS,M,Q,110,45-64,M,BLACK,-73.871197,40.733729
238849201,01/08/2022,339,341,PETIT LARCENY,M,B,52,25-44,M,BLACK HISPANIC,-73.908517,40.86156
238849202,01/09/2022,705,358,OFFENSES INVOLVING FRAUD,M,B,44,18-24,F,WHITE HISPANIC,-73.9196277517392,40.8378421209284
238849203,01/08/2022,792,118,DANGEROUS WEAPONS,F,K,71,25-44,M,WHITE HISPANIC,-73.949116,40.669789
238849204,01/08/2022,109,106,FELONY ASSAULT,F,K,75,25-44,M,BLACK,-73.8818110231735,40.6713598203364
238849206,01/08/2022,109,106,FELONY ASSAULT,F,K,75,45-64,M,BLACK,-73.8818110231735,40.6713598203364
238849208,01/08/2022,109,106,FELONY ASSAULT,F,M,34,25-44,M,WHITE HISPANIC,-73.9352160519866,40.8512131676868
238849209,01/09/2022,258,351,CRIMINAL MISCHIEF & RELATED OF,M,M,20,25-44,M,BLACK,-73.981351,40.768831
238849210,01/09/2022,639,361,OFF. AGNST PUB ORD SENSBLTY &,M,M,5,25-44,M,BLACK,-73.997351,40.715949
238849211,01/08/2022,258,351,CRIMINAL MISCHIEF & RELATED OF,M,M,5,25-44,M,WHITE HISPANIC,-73.9973320301008,40.7160120119955
238849212,01/08/2022,268,121,CRIMINAL MISCHIEF & RELATED OF,F,Q,115,45-64,F,WHITE HISPANIC,-73.861452,40.75781
238849213,01/08/2022,101,344,ASSAULT 3 & RELATED OFFENSES,M,Q,105,25-44,M,ASIAN / PACIFIC ISLANDER,-73.73476,40.726284
238849214,01/08/2022,793,118,DANGEROUS WEAPONS,F,Q,100,25-44,F,BLACK,-73.808239,40.5899
238849331,01/08/2022,440,109,GRAND LARCENY,F,B,50,18-24,M,BLACK,-73.909056,40.875161
238849332,01/08/2022,101,344,ASSAULT 3 & RELATED OFFENSES,M,B,45,25-44,F,BLACK,-73.830106,40.84782
238849333,01/08/2022,339,341,PETIT LARCENY,M,B,52,25-44,F,WHITE HISPANIC,-73.908517,40.86156
238849335,01/08/2022,113,344,ASSAULT 3 & RELATED OFFENSES,M,B,47,25-44,F,BLACK,-73.86381,40.876547
238849336,01/08/2022,905,347,INTOXICATED & IMPAIRED DRIVING,M,B,49,25-44,M,BLACK,-73.831008,40.862283
238849337,01/09/2022,101,344,ASSAULT 3 & RELATED OFFENSES,M,B,42,25-44,M,WHITE HISPANIC,-73.887588,40.832327
238849338,01/09/2022,259,351,CRIMINAL MISCHIEF & RELATED OF,M,B,47,25-44,F,BLACK,-73.847247,40.887325
238849339,01/08/2022,793,118,DANGEROUS WEAPONS,F,K,71,25-44,M,BLACK,-73.9477648403751,40.664121282631
238849340,01/08/2022,157,104,RAPE,F,K,79,45-64,M,BLACK,-73.9450265328727,40.68900139556
238849341,01/08/2022,441,110,GRAND LARCENY OF MOTOR VEHICLE,F,K,79,<18,M,BLACK,-73.93953203,40.69048354
238849343,01/08/2022,847,125,NYS LAWS-UNCLASSIFIED FELONY,F,K,79,25-44,M,BLACK,-73.950663,40.685835
238849344,01/08/2022,441,110,GRAND LARCENY OF MOTOR VEHICLE,F,K,79,<18,M,BLACK,-73.9450265328727,40.68900139556
238849345,01/09/2022,849,677,OTHER STATE LAWS,V,K,73,25-44,M,WHITE HISPANIC,-73.90262523,40.66827221
238849346,01/09/2022,109,106,FELONY ASSAULT,F,K,71,25-44,M,WHITE,-73.9477648403751,40.664121282631
238849347,01/09/2022,511,235,DANGEROUS DRUGS,M,M,14,25-44,M,BLACK,-73.9945368920152,40.7535327012632
238849348,01/08/2022,191,355,OFFENSES AGAINST THE PERSON,M,M,32,18-24,F,BLACK,-73.935314,40.815927
238849349,01/08/2022,113,344,ASSAULT 3 & RELATED OFFENSES,M,M,34,25-44,M,WHITE HISPANIC,-73.935425,40.852907
238849351,01/08/2022,916,348,VEHICLE AND TRAFFIC LAWS,M,Q,102,25-44,M,BLACK,-73.81709842,40.70402854
238849352,01/08/2022,793,118,DANGEROUS WEAPONS,F,Q,100,25-44,F,BLACK,-73.808239,40.5899
238849353,01/09/2022,779,126,MISCELLANEOUS PENAL LAW,F,S,120,25-44,M,BLACK,-74.082537,40.61965
238849492,01/09/2022,705,358,OFFENSES INVOLVING FRAUD,M,B,44,18-24,M,BLACK HISPANIC,-73.9196277517392,40.8378421209284
238849493,01/08/2022,792,118,DANGEROUS WEAPONS,F,B,48,18-24,M,BLACK,-73.883681,40.849559
238849494,01/09/2022,339,341,PETIT LARCENY,M,K,61,25-44,M,WHITE,-73.94231122,40.60826772
238849495,01/08/2022,792,118,DANGEROUS WEAPONS,F,K,81,<18,M,BLACK,-73.9240290899499,40.6894642952604
238849496,01/09/2022,462,353,UNAUTHORIZED USE OF A VEHICLE,M,K,63,18-24,M,BLACK,-73.9413587834752,40.6281697437036
238849497,01/08/2022,441,110,GRAND LARCENY OF MOTOR VEHICLE,F,K,79,18-24,M,BLACK,-73.93953203,40.69048354
238849498,01/08/2022,503,117,DANGEROUS DRUGS,F,K,78,18-24,M,BLACK,-73.974852,40.683291
238849502,01/08/2022,109,106,FELONY ASSAULT,F,K,72,25-44,M,ASIAN / PACIFIC ISLANDER,-74.0004411548878,40.6581577535544
238849503,01/09/2022,265,121,CRIMINAL MISCHIEF & RELATED OF,F,K,81,25-44,M,BLACK,-73.93121,40.686199
238849504,01/09/2022,339,341,PETIT LARCENY,M,M,18,25-44,M,BLACK,-73.987701,40.760098
238849505,01/09/2022,198,126,MISCELLANEOUS PENAL LAW,F,M,26,18-24,F,BLACK,-73.957162,40.817242
238849506,01/08/2022,105,106,FELONY ASSAULT,F,Q,101,45-64,M,BLACK,-73.7501173648331,40.6027762300781
